UNITID,University Name,State,Institution Type,Average Cost,Median Debt,Earnings (10 Years Out),Earnings (6 Years Out),Academic Year
485111,Georgia Military College,GA,Public,12321.0,9371.0,34727.0,28845.0,2018-19
485272,West Coast University-Miami,FL,Private For-Profit,31027.0,33500.0,97371.0,83706.0,2018-19
486691,Empire Beauty School-Northlake,GA,Private For-Profit,,13000.0,24377.0,20184.0,2018-19
486840,Kennesaw State University,GA,Public,23824.0,24000.0,51792.0,43250.0,2018-19
487092,Emory University-Oxford College,GA,Private Non-Profit,64708.0,16500.0,72364.0,61633.0,2018-19
487311,Jones Technical Institute,FL,Private Non-Profit,21785.0,10079.0,19897.0,20683.0,2018-19
487384,Florida Career College-Pembroke Pines,FL,Private For-Profit,31414.0,9500.0,26346.0,22490.0,2018-19
487393,Florida Career College-West Palm Beach,FL,Private For-Profit,,9500.0,26346.0,22490.0,2018-19
487409,Florida Career College-Hialeah,FL,Private For-Profit,,9500.0,26346.0,22490.0,2018-19
487418,Florida Career College-Lauderdale Lakes,FL,Private For-Profit,31510.0,9500.0,26346.0,22490.0,2018-19
487427,Florida Career College-Tampa,FL,Private For-Profit,,9500.0,26346.0,22490.0,2018-19
487436,Florida Career College-Jacksonville,FL,Private For-Profit,,9500.0,26346.0,22490.0,2018-19
487445,Florida Career College-Boynton Beach,FL,Private For-Profit,31630.0,9500.0,26346.0,22490.0,2018-19
487454,Florida Career College-Margate,FL,Private For-Profit,,9500.0,26346.0,22490.0,2018-19
487472,Florida Career College-Orlando,FL,Private For-Profit,,9500.0,26346.0,22490.0,2018-19
489399,Harris School of Business-Danbury,CT,Private For-Profit,,9456.0,28281.0,23960.0,2018-19
490559,Gwinnett Institute,FL,Private For-Profit,,18944.0,29617.0,25322.0,2018-19
490975,Fortis College-Cutler Bay,FL,Private For-Profit,34839.0,16500.0,37058.0,28718.0,2018-19
491136,Empire Beauty School-Tampa,FL,Private For-Profit,,11746.0,24220.0,20872.0,2018-19
491145,Empire Beauty School-Lakeland,FL,Private For-Profit,,12467.0,26171.0,20056.0,2018-19
492360,The Salon Professional Academy-Delray Beach,FL,Private For-Profit,,7667.0,18197.0,14693.0,2018-19
10236809,Troy University-Support Sites,GA,Public,,25030.0,39339.0,32760.0,2018-19
12980801,Three Rivers Community College - Corrigan-Radgowski Correctional Center,CT,Public,,8400.0,37203.0,33935.0,2018-19
12980802,Three Rivers Community College - York Correctional Institution,CT,Public,,8400.0,37203.0,33935.0,2018-19
13017401,Porter and Chester Institute of Rocky Hill,CT,Private For-Profit,,12350.0,38701.0,33483.0,2018-19
13017402,Porter and Chester Institute of Enfield,CT,Private For-Profit,,12350.0,38701.0,33483.0,2018-19
13017403,Porter and Chester Institute of Waterbury,CT,Private For-Profit,,12350.0,38701.0,33483.0,2018-19
13247101,Barry University Law School,FL,Private Non-Profit,,28500.0,53436.0,43282.0,2018-19
13508101,Keiser University-Melbourne,FL,Private Non-Profit,,25199.0,36284.0,32792.0,2018-19
13508102,Keiser University-Tallahassee,FL,Private Non-Profit,,25199.0,36284.0,32792.0,2018-19
13508103,Keiser University-Daytona,FL,Private Non-Profit,,25199.0,36284.0,32792.0,2018-19
13508104,Keiser University-Lakeland,FL,Private Non-Profit,,25199.0,36284.0,32792.0,2018-19
13508105,Keiser University- Miami,FL,Private Non-Profit,,25199.0,36284.0,32792.0,2018-19
13508106,Keiser University-Orlando,FL,Private Non-Profit,,25199.0,36284.0,32792.0,2018-19
13508107,Keiser University-Sarasota,FL,Private Non-Profit,,25199.0,36284.0,32792.0,2018-19
13508108,Keiser University-Jacksonville,FL,Private Non-Profit,,25199.0,36284.0,32792.0,2018-19
